code,base price (EUR)
IB2818,186
U23631,152
IB8482,295
FR7521,150
TK4667,137
U24631,268
VY4335,158
TK8891,250
U24107,237
U22593,218
VY9890,178
TK4927,290
BA1164,118
BA7710,138
U24985,191
IB9961,128
LH2118,165
IB8911,180
TK2372,197
LH4145,169
IB6112,112
LH1678,298
LH6620,217
TK4199,186
IB7403,253
BA4369,109
IB2171,259
LH6412,197
LH1115,160
VY8162,285
BA8162,205
BA7610,168
LH1085,148
U21423,274
U23282,113
LH5778,263
BA2777,284
TK4375,208
LH8408,149
IB4563,109
LH5174,251
BA9569,232
TK2659,248
IB2771,289
IB8688,150
TK8355,137
VY2974,111
LH5909,113
FR7949,176
U27858,237
LH2320,288
VY4633,149
IB7289,163
IB9443,254
LH4948,176
TK5558,211
BA9409,215
FR9261,267
IB7181,227
TK1446,217
TK2793,175
FR1491,284
IB9219,279
TK7871,159
VY4840,260
BA8982,171
U23526,254
BA6773,157
IB5257,299
LH8545,230
IB4737,110
LH5496,293
U29718,103
BA9561,253
TK3167,118
FR4727,108
LH6320,115
BA6657,122
TK5342,295
IB4938,226
VY9791,289
IB4124,272
BA7842,121
VY5092,178
BA9813,171
BA2421,226
U28059,262
TK2044,186
LH7260,191
